,Ticker,Name,Exchange
3829,UGXTWD=X,UGX/TWD,CCY
3830,UGXTOP=X,UGX/TOP,CCY
3831,UGXCZK=X,UGX/CZK,CCY
3832,29134364=X,,
3833,UAHEUR=X,UAH/EUR,CCY
3834,UAHCHF=X,UAH/CHF,CCY
3835,UGXMXN=X,UGX/MXN,CCY
3836,UGXNOK=X,UGX/NOK,CCY
3837,UGXHUF=X,UGX/HUF,CCY
3838,UGXARS=X,UGX/ARS,CCY
3839,29134363=X,,
3840,UGXBWP=X,UGX/BWP,CCY
3841,UGXOMR=X,UGX/OMR,CCY
3842,VUV=X,USD/VUV,CCY
3843,UGXGHS=X,UGX/GHS,CCY
3844,UGXRON=X,UGX/RON,CCY
3845,UYUPYG=X,UYU/PYG,CCY
3846,XDR=X,USD/XDR,CCY
3847,UGXPKR=X,UGX/PKR,CCY
3848,USD=X,USD/USD,CCY
3849,UGXMWK=X,UGX/MWK,CCY
3850,YER=X,USD/YER,CCY
3851,UGXBDT=X,UGX/BDT,CCY
3852,UYUTHB=X,UYU/THB,CCY
3853,WST=X,USD/WST,CCY
3854,UGXBGN=X,UGX/BGN,CCY
3855,XPF=X,USD/XPF,CCY
3856,UGXWST=X,UGX/WST,CCY
3857,29134366=X,,
3858,UGXVND=X,UGX/VND,CCY
3859,UGXKRW=X,UGX/KRW,CCY
3860,UGXKES=X,UGX/KES,CCY
3861,UGXMUR=X,UGX/MUR,CCY
3862,UGXCOP=X,UGX/COP,CCY
3863,UGXSBD=X,UGX/SBD,CCY
3864,UGXTZS=X,UGX/TZS,CCY
3865,29134361=X,,
3866,UGXNGN=X,UGXNGN=X,CCY
3867,UAHCZK=X,UAH/CZK,CCY
3868,UGXCLP=X,UGX/CLP,CCY
3869,UGXPHP=X,UGX/PHP,CCY
3870,UGXRWF=X,UGX/RWF,CCY
3871,UGXRUB=X,UGX/RUB,CCY
3872,UGXTRY=X,UGX/TRY,CCY
3873,UGXILS=X,UGX/ILS,CCY
3874,UGX=X,USD/UGX,CCY
