,Ticker,Name,Exchange
98,SDR15Y.SW,SBI Dom AAA-BBB 15+ Y,EBS
99,SA1AMVR.Z,,
100,PAX.PA,CAC ALL SHARES,PAR
101,INAX.DE,INAV IS.STX EUR 600 (DE),GER
102,IM25.BA,MERVAL 25 ARGENTINA,BUE
103,HTXHUF.VI,,
104,G7X4.DE,DAX+RISKTRIGRUS+ PF,GER
105,D8AG.DE,,
106,D1BM.DE,DAXPLUS FAMILY KURSINDEX,GER
107,ASX1770.L,,
108,ALL.PS,PHP INDEX ALL-SHARE,PHS
109,AAX.NX,,
110,5FUA.DE,INAVISHSTCBDEXFIUCH,GER
111,3BMO.DE,INAVISHS&P500EU,GER
112,SAA6UNR.Z,,
113,^NQLA1300JPYN,NASDAQ Lat America Chemicals JP,NIM
114,SXSHIPTA.SG,,
115,WIAMERS1730.FGI,,
116,DH6W.DE,INAV DB X-T. TR CHF,GER
117,D8TW.DE,IN.IS.PHYS.SILVER ETC JPY,GER
118,^NQUSB5752LMAUDT,NQ US Gambling Large Mid Cap A,NIM
119,^NQASIA6000LMJPYT,NASDAQ Asia Telecom Large Mid C,NIM
120,^NQDMASIA1700JPYN,NASDAQ DM Asia Basic Resources,NIM
121,V2J3.DE,,
122,4N6Z.DE,DAXSUB ALL RETI K,GER
123,^NQUSB0587CADN,NQ US Bnchmk Alternative Fuels,NIM
124,^NQUSM9000AUDT,NQ US Md Cap Tech AUD TR Index,NIM
125,^NQUSB5373AUDN,NQ US Bnchmk Broadline Rtlrs AU,NIM
126,S63Y.SW,SBI Sec CB Mixed Assets Y,EBS
127,^NQUSS8771GBP,NQ US Sm Cap Asset Managers GBP,NIM
128,^NQNAMCCADN,NASDAQ N America Mid Cap CAD NT,NIM
129,^NQDM7000AUD,NASDAQ Developed Utilities AUD,NIM
130,^NQG6000AUDN,NASDAQ Global Telecom AUD NTR I,NIM
131,^NQEMMEA2000AUDT,NASDAQ EM MEA Inds AUD TR Index,NIM
132,^NQASPA3500LMT,NASDAQ ASPA Food & Beverage Lg,NIM
133,^NQEMASIA9000EUR,NASDAQ EM Asia Tech EUR Index,NIM
134,^NQDMASIA6000LM,NASDAQ DM Asia Telecom Large Mi,NIM
135,^NQLA7000GBPN,NASDAQ Lat America Utilities GB,NIM
136,31651175.SG,,
137,^NQASIA4000,The NASDAQ Asia Health Care Ind,NIM
138,^NQAU7000GBP,NASDAQ Australia Utilities GBP,NIM
139,4Q5W.DE,INAV DE.ESTX SE.DIV.30 EO,GER
140,^SPAENAUP,S&P Agribusiness North America,SNP
141,SBFR2T.SW,SBI For AA T,EBS
142,^NQDMASPA5500GBPN,NASDAQ DM ASPA Media GBP NTR In,NIM
143,^NQDMXNASCAUDT,NASDAQ Developed ex North Ameri,NIM
144,WIAMERS1000.FGI,,
145,^NQLA5000LM,NASDAQ Lat America Cnsmr Svcs L,NIM
146,ST13Y.SW,SBI AAA-BBB 1-3 Y,EBS
147,^NQDMASPA4000JPY,NASDAQ DM ASPA Health Care JPY,NIM
148,^NQG2300AUDT,NASDAQ Global Constr & Matls AU,NIM
149,SG71P.SW,SBI Dom Gov 7-10 P,EBS
150,^NQDMXUS2000AUDN,NASDAQ DM Ex US Industrials AUD,NIM
151,^NQLALMCADN,NASDAQ Lat America Large Mid Ca,NIM
152,^NQDMEU3300LMEUR,NASDAQ DM Europe Auto & Parts L,NIM
153,^NQG3300AUDN,NASDAQ Global Auto & Parts AUD,NIM
154,^NQEMMEA8500AUD,NASDAQ EM MEA Ins AUD Index,NIM
155,AEXSH.NX,,
156,^NQNA8300JPYT,NASDAQ N America Banks JPY TR I,NIM
157,^NQLALCCADT,NASDAQ Lat America Large Cap CA,NIM
158,4MW2.DE,INAVISHSTXEU50UJPY,GER
159,^NQNA8500T,The NASDAQ North America Insura,NIM
160,^SP500-25102010,S&P 500 Automobile Manufacturer,SNP
161,SFR15Y.SW,SBI For AAA-BBB 15+ Y,EBS
162,^NQLA8300LMGBP,NASDAQ Lat America Banks Lg Md,NIM
163,WIAMERS2710.L,,
164,^NQTW0001AUDT,NASDAQ Taiwan Oil & Gas AUD TR,NIM
165,NZREG.NZ,S&P/NZX ALL REAL ESTATE (INDUST,NZE
166,LZPL.DE,INAV DB X-T D600 HC,GER
167,^NQMEA8500LMAUDN,NASDAQ MEA Ins Large Mid Cap AU,NIM
168,^NQNA3000LMT,NASDAQ N America Cnsmr Goods Lg,NIM
169,23576012.SG,,
170,^DWMFCGT,^DWMFCGT,DJI
